OBJECTID,DESCRIPTION,NAREA,Max_FAR,INSIDE_X,INSIDE_Y,DETAIL,LANDUSE_CODE,ShapeSTArea,ShapeSTLength
1,Resource and Recreation,259.31952189,,484967.21579092,5499682.75461003,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,2593201.29125977,22081.7796533095
2,Resource and Recreation,1433.73045088,,489633.71680184,5519701.5967774,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,14337304.5041504,66170.8221489158
3,Resource and Recreation,259.30345115,,492076.87244814,5512780.50005602,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,2593034.51074219,9516.78284541342
4,Intensive Industrial,57.6258677,,488538.13667853,5503253.85019482,"Applies to medium, heavy and marine industrial use areas. Examples of uses supported within the Intensive Industrial designation include activities such as land intensive primary processing and manufacturing, and large-scale primary processing or fabricating. Specific operations include Squamish Terminals and aggregate extraction.",14,576258.379882812,6285.11814256045
5,Resource and Recreation,24.16482592,,488436.00728768,5520572.83458552,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,241648.252441406,19140.5381856407
6,Resource and Recreation,22.32500062,,488553.62140879,5521039.35375663,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,223256.390380859,19444.3146946724
7,Resource and Recreation,30.96701258,,490782.63042218,5518020.27975207,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,309670.428222656,14889.9832314528
8,Resource and Recreation,2.05867172,,489145.27766367,5518535.42010794,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,20586.7185058594,1456.37679955632
9,Conservation and Ecological Reserves,1357.28464366,,487687.6907866,5508701.00455454,"Applies to natural or semi-natural areas with high environmental values intended for conservation. Lands consist of protected areas and ecological reserves with an established management plan that identifies the primary focus as habitat protection or environmentally sensitive lands. These lands are secured by federal, provincial or municipal ownership, legal conservation covenant, or protected area zoning (in future). Examples include the Skwelwil'em Wildlife Management Area (Squamish Estuary), Brackendale Eagles Provincial Park, and Baynes Island Ecological Reserve. This designation supports natural areas recognized as providing critical ecological services such as flood protection and stormwater management.",1,13571489.3925781,64994.2534284724
10,Resource and Recreation,0.05211221,,488788.74192919,5519774.4560205,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,521.122802734375,169.149270808235
